,Test,,,,,Training,,,,,,,
Rank,F1n,F1a,F1o,F1p,F1 Score ,F1n,F1a,F1o,F1p,F1 score,Entry number,Closed,Authors
1,0.903,0.8547,0.7366,0.5622,0.83,0.9372,0.8977,0.843,0.7987,0.89,220,,Tomás Teijeiro; Constantino A. García; Paulo Félix; Daniel Castro
1,0.9158,0.8225,0.7498,0.5239,0.83,0.9931,0.9385,0.9772,0.9591,0.97,209,,Shreyasi Datta; Chetanya Puri; Ayan Mukherjee; Rohan Banerjee; Anirban Dutta Choudhury; Arijit Ukil; Soma Bandyopadhyay; Rituraj Singh; Arpan Pal; Sundeep Khandelwal
1,0.9087,0.8351,0.7341,0.5042,0.83,0.9813,0.925,0.9468,0.9295,0.95,208,,Morteza Zabihi; Ali Bahrami Rad
1,0.9117,0.8128,0.7505,0.5671,0.83,0.9924,0.9385,0.9758,0.9591,0.97,221,,Shenda Hong; Yuxi Zhou; Qingyun Wang; Meng Wu; Junyuan Shang
5,0.9107,0.825,0.7299,0.5646,0.82,0.99,0.9331,0.971,0.9424,0.96,208,,Mohammed Baydoun; Lise Safatly; Hassan Ghaziri; Ali El-Hajj
5,0.909,0.8221,0.7319,0.5676,0.82,0.927,0.9128,0.8267,0.8986,0.89,209,,Martin Zihlmann; Michael Tschannen; Dmytro Perekrestenko
5,0.9112,0.8191,0.7328,0.5661,0.82,0.9254,0.8787,0.82,0.8262,0.87,211,,Guangyu Bin; Minggang Shao; Jiao Huang; Guanghong Bin
5,0.9031,0.8203,0.731,0.5251,0.82,0.9264,0.8774,0.8271,0.6881,0.88,282,,Zhaohan Xiong; Dr Jichao Zhao
9,0.8997,0.8272,0.7178,0.6396,0.81,0.958,0.9355,0.9112,0.839,0.93,205,,Martin Kropf; Dieter Hayn; Günter Schreier
9,0.9054,0.8021,0.736,0.543,0.81,0.9561,0.9159,0.9035,0.6476,0.93,210,,Filip Plesinger; Petr Nejedly; Josef Halamek; Ivo Viscor; Pavel Jurak
9,0.9024,0.8156,0.7194,0.5707,0.81,0.9931,0.9385,0.9772,0.9591,0.97,254,,Sebastian D. Goodfellow; Dr. Danny Eytan; Andrew Goodwin; Robert Greer; Dr. Peter Laussen; Dr. Mjaye Mazwi
